Date;Calendrier Zone A;Calendrier Zone B;Calendrier Zone C;Nom de la période;timestamp_unix
2022-01-04;Hors Vacances;Hors Vacances;Hors Vacances;;1641254400
2022-02-11;Hors Vacances;Vacances d'hiver;Hors Vacances;Vacances d'hiver;1644537600
2022-04-18;Vacances de printemps;Vacances de printemps;Hors Vacances;Vacances de printemps;1650240000
2022-05-15;Hors Vacances;Hors Vacances;Hors Vacances;;1652572800
2022-05-19;Hors Vacances;Hors Vacances;Hors Vacances;;1652918400
2022-05-27;Pont de l'Ascension;Pont de l'Ascension;Pont de l'Ascension;Pont de l'Ascension;1653609600
2022-08-10;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1660089600
2022-09-04;Hors Vacances;Hors Vacances;Hors Vacances;;1662249600
2022-09-30;Hors Vacances;Hors Vacances;Hors Vacances;;1664496000
2022-11-25;Hors Vacances;Hors Vacances;Hors Vacances;;1669334400
2022-12-28;Vacances de Noël;Vacances de Noël;Vacances de Noël;Vacances de Noël;1672185600
2022-04-30;Vacances de printemps;Hors Vacances;Vacances de printemps;Vacances de printemps;1651276800
2022-05-02;Hors Vacances;Hors Vacances;Vacances de printemps;Vacances de printemps;1651449600
2022-06-04;Hors Vacances;Hors Vacances;Hors Vacances;;1654300800
2022-07-08;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1657238400
2022-07-16;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1657929600
2022-08-29;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1661731200
2022-08-31;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1661904000
2022-09-13;Hors Vacances;Hors Vacances;Hors Vacances;;1663027200
2022-09-23;Hors Vacances;Hors Vacances;Hors Vacances;;1663891200
2022-10-01;Hors Vacances;Hors Vacances;Hors Vacances;;1664582400
2022-10-20;Hors Vacances;Hors Vacances;Hors Vacances;;1666224000
2022-11-28;Hors Vacances;Hors Vacances;Hors Vacances;;1669593600
2022-12-11;Hors Vacances;Hors Vacances;Hors Vacances;;1670716800
2022-01-09;Hors Vacances;Hors Vacances;Hors Vacances;;1641686400
2022-01-15;Hors Vacances;Hors Vacances;Hors Vacances;;1642204800
2022-02-09;Hors Vacances;Vacances d'hiver;Hors Vacances;Vacances d'hiver;1644364800
2022-02-25;Vacances d'hiver;Hors Vacances;Vacances d'hiver;Vacances d'hiver;1645747200
2022-04-03;Hors Vacances;Hors Vacances;Hors Vacances;;1648944000
2022-05-12;Hors Vacances;Hors Vacances;Hors Vacances;;1652313600
2022-05-23;Hors Vacances;Hors Vacances;Hors Vacances;;1653264000
2022-05-30;Hors Vacances;Hors Vacances;Hors Vacances;;1653868800
2022-06-06;Hors Vacances;Hors Vacances;Hors Vacances;;1654473600
2022-06-17;Hors Vacances;Hors Vacances;Hors Vacances;;1655424000
2022-10-02;Hors Vacances;Hors Vacances;Hors Vacances;;1664668800
2022-11-14;Hors Vacances;Hors Vacances;Hors Vacances;;1668384000
2022-12-01;Hors Vacances;Hors Vacances;Hors Vacances;;1669852800
2022-12-02;Hors Vacances;Hors Vacances;Hors Vacances;;1669939200
2022-12-05;Hors Vacances;Hors Vacances;Hors Vacances;;1670198400
2022-12-30;Vacances de Noël;Vacances de Noël;Vacances de Noël;Vacances de Noël;1672358400
2022-01-06;Hors Vacances;Hors Vacances;Hors Vacances;;1641427200
2022-01-07;Hors Vacances;Hors Vacances;Hors Vacances;;1641513600
2022-03-05;Hors Vacances;Hors Vacances;Vacances d'hiver;Vacances d'hiver;1646438400
2022-04-05;Hors Vacances;Hors Vacances;Hors Vacances;;1649116800
2022-06-22;Hors Vacances;Hors Vacances;Hors Vacances;;1655856000
2022-06-26;Hors Vacances;Hors Vacances;Hors Vacances;;1656201600
2022-07-12;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1657584000
2022-08-20;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1660953600
2022-10-19;Hors Vacances;Hors Vacances;Hors Vacances;;1666137600
2022-10-24;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;1666569600
2022-10-30;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;1667088000
2022-11-13;Hors Vacances;Hors Vacances;Hors Vacances;;1668297600
2022-02-12;Vacances d'hiver;Vacances d'hiver;Hors Vacances;Vacances d'hiver;1644624000
2022-02-13;Vacances d'hiver;Vacances d'hiver;Hors Vacances;Vacances d'hiver;1644710400
2022-02-19;Vacances d'hiver;Vacances d'hiver;Vacances d'hiver;Vacances d'hiver;1645228800
2022-06-18;Hors Vacances;Hors Vacances;Hors Vacances;;1655510400
2022-07-05;Hors Vacances;Hors Vacances;Hors Vacances;;1656979200
2022-07-18;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1658102400
2022-07-27;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1658880000
2022-08-03;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1659484800
2022-08-19;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1660867200
2022-08-28;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1661644800
2022-11-24;Hors Vacances;Hors Vacances;Hors Vacances;;1669248000
2022-12-26;Vacances de Noël;Vacances de Noël;Vacances de Noël;Vacances de Noël;1672012800
2022-01-08;Hors Vacances;Hors Vacances;Hors Vacances;;1641600000
2022-02-06;Hors Vacances;Vacances d'hiver;Hors Vacances;Vacances d'hiver;1644105600
2022-02-08;Hors Vacances;Vacances d'hiver;Hors Vacances;Vacances d'hiver;1644278400
2022-02-10;Hors Vacances;Vacances d'hiver;Hors Vacances;Vacances d'hiver;1644451200
2022-03-10;Hors Vacances;Hors Vacances;Hors Vacances;;1646870400
2022-07-06;Hors Vacances;Hors Vacances;Hors Vacances;;1657065600
2022-08-02;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1659398400
2022-08-21;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1661040000
2022-08-27;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1661558400
2022-10-27;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;1666828800
2022-12-15;Hors Vacances;Hors Vacances;Hors Vacances;;1671062400
2022-01-11;Hors Vacances;Hors Vacances;Hors Vacances;;1641859200
2022-02-18;Vacances d'hiver;Vacances d'hiver;Hors Vacances;Vacances d'hiver;1645142400
2022-02-22;Vacances d'hiver;Hors Vacances;Vacances d'hiver;Vacances d'hiver;1645488000
2022-04-04;Hors Vacances;Hors Vacances;Hors Vacances;;1649030400
2022-04-10;Hors Vacances;Vacances de printemps;Hors Vacances;Vacances de printemps;1649548800
2022-05-03;Hors Vacances;Hors Vacances;Vacances de printemps;Vacances de printemps;1651536000
2022-07-03;Hors Vacances;Hors Vacances;Hors Vacances;;1656806400
2022-07-10;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1657411200
2022-07-23;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1658534400
2022-07-30;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1659139200
2022-09-26;Hors Vacances;Hors Vacances;Hors Vacances;;1664150400
2022-10-16;Hors Vacances;Hors Vacances;Hors Vacances;;1665878400
2022-12-31;Vacances de Noël;Vacances de Noël;Vacances de Noël;Vacances de Noël;1672444800
2022-01-28;Hors Vacances;Hors Vacances;Hors Vacances;;1643328000
2022-02-21;Vacances d'hiver;Hors Vacances;Vacances d'hiver;Vacances d'hiver;1645401600
2022-03-03;Hors Vacances;Hors Vacances;Vacances d'hiver;Vacances d'hiver;1646265600
2022-04-15;Hors Vacances;Vacances de printemps;Hors Vacances;Vacances de printemps;1649980800
2022-04-20;Vacances de printemps;Vacances de printemps;Hors Vacances;Vacances de printemps;1650412800
2022-05-07;Hors Vacances;Hors Vacances;Vacances de printemps;Vacances de printemps;1651881600
2022-05-20;Hors Vacances;Hors Vacances;Hors Vacances;;1653004800
2022-07-01;Hors Vacances;Hors Vacances;Hors Vacances;;1656633600
2022-07-21;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1658361600
2022-07-31;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1659225600
2022-08-23;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1661212800
2022-08-24;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1661299200
2022-09-06;Hors Vacances;Hors Vacances;Hors Vacances;;1662422400
2022-10-07;Hors Vacances;Hors Vacances;Hors Vacances;;1665100800
2022-10-18;Hors Vacances;Hors Vacances;Hors Vacances;;1666051200
2022-11-22;Hors Vacances;Hors Vacances;Hors Vacances;;1669075200
2022-12-25;Vacances de Noël;Vacances de Noël;Vacances de Noël;Vacances de Noël;1671926400
2022-02-24;Vacances d'hiver;Hors Vacances;Vacances d'hiver;Vacances d'hiver;1645660800
2022-03-27;Hors Vacances;Hors Vacances;Hors Vacances;;1648339200
2022-04-23;Vacances de printemps;Vacances de printemps;Vacances de printemps;Vacances de printemps;1650672000
2022-04-29;Vacances de printemps;Hors Vacances;Vacances de printemps;Vacances de printemps;1651190400
2022-05-10;Hors Vacances;Hors Vacances;Hors Vacances;;1652140800
2022-06-13;Hors Vacances;Hors Vacances;Hors Vacances;;1655078400
2022-07-22;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1658448000
2022-09-10;Hors Vacances;Hors Vacances;Hors Vacances;;1662768000
2022-09-21;Hors Vacances;Hors Vacances;Hors Vacances;;1663718400
2022-11-23;Hors Vacances;Hors Vacances;Hors Vacances;;1669161600
2022-12-23;Vacances de Noël;Vacances de Noël;Vacances de Noël;Vacances de Noël;1671753600
2022-01-24;Hors Vacances;Hors Vacances;Hors Vacances;;1642982400
2022-01-31;Hors Vacances;Hors Vacances;Hors Vacances;;1643587200
2022-03-12;Hors Vacances;Hors Vacances;Hors Vacances;;1647043200
2022-03-17;Hors Vacances;Hors Vacances;Hors Vacances;;1647475200
2022-05-06;Hors Vacances;Hors Vacances;Vacances de printemps;Vacances de printemps;1651795200
2022-06-29;Hors Vacances;Hors Vacances;Hors Vacances;;1656460800
2022-09-08;Hors Vacances;Hors Vacances;Hors Vacances;;1662595200
2022-09-24;Hors Vacances;Hors Vacances;Hors Vacances;;1663977600
2022-10-31;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;1667174400
2022-11-02;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;1667347200
2022-11-09;Hors Vacances;Hors Vacances;Hors Vacances;;1667952000
2022-01-10;Hors Vacances;Hors Vacances;Hors Vacances;;1641772800
2022-02-01;Hors Vacances;Hors Vacances;Hors Vacances;;1643673600
2022-03-02;Hors Vacances;Hors Vacances;Vacances d'hiver;Vacances d'hiver;1646179200
2022-03-22;Hors Vacances;Hors Vacances;Hors Vacances;;1647907200
2022-04-02;Hors Vacances;Hors Vacances;Hors Vacances;;1648857600
2022-05-18;Hors Vacances;Hors Vacances;Hors Vacances;;1652832000
2022-06-09;Hors Vacances;Hors Vacances;Hors Vacances;;1654732800
2022-06-16;Hors Vacances;Hors Vacances;Hors Vacances;;1655337600
2022-06-24;Hors Vacances;Hors Vacances;Hors Vacances;;1656028800
2022-06-27;Hors Vacances;Hors Vacances;Hors Vacances;;1656288000
2022-07-19;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1658188800
2022-08-18;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1660780800
2022-08-26;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1661472000
2022-09-03;Hors Vacances;Hors Vacances;Hors Vacances;;1662163200
2022-09-15;Hors Vacances;Hors Vacances;Hors Vacances;;1663200000
2022-01-02;Vacances de Noël;Vacances de Noël;Vacances de Noël;Vacances de Noël;1641081600
2022-01-16;Hors Vacances;Hors Vacances;Hors Vacances;;1642291200
2022-03-18;Hors Vacances;Hors Vacances;Hors Vacances;;1647561600
2022-03-19;Hors Vacances;Hors Vacances;Hors Vacances;;1647648000
2022-04-07;Hors Vacances;Hors Vacances;Hors Vacances;;1649289600
2022-04-16;Vacances de printemps;Vacances de printemps;Hors Vacances;Vacances de printemps;1650067200
2022-04-25;Vacances de printemps;Hors Vacances;Vacances de printemps;Vacances de printemps;1650844800
2022-05-31;Hors Vacances;Hors Vacances;Hors Vacances;;1653955200
2022-07-04;Hors Vacances;Hors Vacances;Hors Vacances;;1656892800
2022-07-14;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1657756800
2022-09-12;Hors Vacances;Hors Vacances;Hors Vacances;;1662940800
2022-09-18;Hors Vacances;Hors Vacances;Hors Vacances;;1663459200
2022-10-08;Hors Vacances;Hors Vacances;Hors Vacances;;1665187200
2022-10-15;Hors Vacances;Hors Vacances;Hors Vacances;;1665792000
2022-10-21;Hors Vacances;Hors Vacances;Hors Vacances;;1666310400
2022-12-04;Hors Vacances;Hors Vacances;Hors Vacances;;1670112000
2022-01-17;Hors Vacances;Hors Vacances;Hors Vacances;;1642377600
2022-03-31;Hors Vacances;Hors Vacances;Hors Vacances;;1648684800
2022-04-11;Hors Vacances;Vacances de printemps;Hors Vacances;Vacances de printemps;1649635200
2022-05-01;Vacances de printemps;Hors Vacances;Vacances de printemps;Vacances de printemps;1651363200
2022-06-12;Hors Vacances;Hors Vacances;Hors Vacances;;1654992000
2022-07-17;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1658016000
2022-08-05;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1659657600
2022-11-16;Hors Vacances;Hors Vacances;Hors Vacances;;1668556800
2022-11-17;Hors Vacances;Hors Vacances;Hors Vacances;;1668643200
2022-12-12;Hors Vacances;Hors Vacances;Hors Vacances;;1670803200
2022-12-22;Vacances de Noël;Vacances de Noël;Vacances de Noël;Vacances de Noël;1671667200
2022-02-16;Vacances d'hiver;Vacances d'hiver;Hors Vacances;Vacances d'hiver;1644969600
2022-02-20;Vacances d'hiver;Vacances d'hiver;Vacances d'hiver;Vacances d'hiver;1645315200
2022-04-26;Vacances de printemps;Hors Vacances;Vacances de printemps;Vacances de printemps;1650931200
2022-05-22;Hors Vacances;Hors Vacances;Hors Vacances;;1653177600
2022-06-23;Hors Vacances;Hors Vacances;Hors Vacances;;1655942400
2022-08-11;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1660176000
2022-09-28;Hors Vacances;Hors Vacances;Hors Vacances;;1664323200
2022-10-28;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;1666915200
2022-11-20;Hors Vacances;Hors Vacances;Hors Vacances;;1668902400
2022-01-05;Hors Vacances;Hors Vacances;Hors Vacances;;1641340800
2022-01-23;Hors Vacances;Hors Vacances;Hors Vacances;;1642896000
2022-01-25;Hors Vacances;Hors Vacances;Hors Vacances;;1643068800
2022-03-14;Hors Vacances;Hors Vacances;Hors Vacances;;1647216000
2022-03-20;Hors Vacances;Hors Vacances;Hors Vacances;;1647734400
2022-04-28;Vacances de printemps;Hors Vacances;Vacances de printemps;Vacances de printemps;1651104000
2022-05-05;Hors Vacances;Hors Vacances;Vacances de printemps;Vacances de printemps;1651708800
2022-05-21;Hors Vacances;Hors Vacances;Hors Vacances;;1653091200
2022-06-03;Hors Vacances;Hors Vacances;Hors Vacances;;1654214400
2022-06-14;Hors Vacances;Hors Vacances;Hors Vacances;;1655164800
2022-07-25;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1658707200
2022-07-28;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1658966400
2022-10-04;Hors Vacances;Hors Vacances;Hors Vacances;;1664841600
2022-10-05;Hors Vacances;Hors Vacances;Hors Vacances;;1664928000
2022-11-11;Hors Vacances;Hors Vacances;Hors Vacances;;1668124800
2022-11-12;Hors Vacances;Hors Vacances;Hors Vacances;;1668211200
2022-11-29;Hors Vacances;Hors Vacances;Hors Vacances;;1669680000
2022-01-20;Hors Vacances;Hors Vacances;Hors Vacances;;1642636800
2022-03-04;Hors Vacances;Hors Vacances;Vacances d'hiver;Vacances d'hiver;1646352000
2022-03-15;Hors Vacances;Hors Vacances;Hors Vacances;;1647302400
2022-04-21;Vacances de printemps;Vacances de printemps;Hors Vacances;Vacances de printemps;1650499200
2022-04-22;Vacances de printemps;Vacances de printemps;Hors Vacances;Vacances de printemps;1650585600
2022-05-25;Hors Vacances;Hors Vacances;Hors Vacances;;1653436800
2022-07-15;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1657843200
2022-07-26;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1658793600
2022-08-01;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1659312000
2022-09-25;Hors Vacances;Hors Vacances;Hors Vacances;;1664064000
2022-09-29;Hors Vacances;Hors Vacances;Hors Vacances;;1664409600
2022-11-21;Hors Vacances;Hors Vacances;Hors Vacances;;1668988800
2022-12-07;Hors Vacances;Hors Vacances;Hors Vacances;;1670371200
2022-01-03;Hors Vacances;Hors Vacances;Hors Vacances;;1641168000
2022-02-04;Hors Vacances;Hors Vacances;Hors Vacances;;1643932800
2022-02-26;Vacances d'hiver;Hors Vacances;Vacances d'hiver;Vacances d'hiver;1645833600
2022-03-21;Hors Vacances;Hors Vacances;Hors Vacances;;1647820800
2022-06-08;Hors Vacances;Hors Vacances;Hors Vacances;;1654646400
2022-08-14;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1660435200
2022-09-07;Hors Vacances;Hors Vacances;Hors Vacances;;1662508800
2022-09-19;Hors Vacances;Hors Vacances;Hors Vacances;;1663545600
2022-10-09;Hors Vacances;Hors Vacances;Hors Vacances;;1665273600
2022-01-01;Vacances de Noël;Vacances de Noël;Vacances de Noël;Vacances de Noël;1640995200
2022-02-02;Hors Vacances;Hors Vacances;Hors Vacances;;1643760000
2022-03-06;Hors Vacances;Hors Vacances;Vacances d'hiver;Vacances d'hiver;1646524800
2022-03-16;Hors Vacances;Hors Vacances;Hors Vacances;;1647388800
2022-04-19;Vacances de printemps;Vacances de printemps;Hors Vacances;Vacances de printemps;1650326400
2022-06-01;Hors Vacances;Hors Vacances;Hors Vacances;;1654041600
2022-06-02;Hors Vacances;Hors Vacances;Hors Vacances;;1654128000
2022-07-20;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1658275200
2022-10-22;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;1666396800
2022-11-05;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;1667606400
2022-11-08;Hors Vacances;Hors Vacances;Hors Vacances;;1667865600
2022-02-07;Hors Vacances;Vacances d'hiver;Hors Vacances;Vacances d'hiver;1644192000
2022-03-09;Hors Vacances;Hors Vacances;Hors Vacances;;1646784000
2022-03-26;Hors Vacances;Hors Vacances;Hors Vacances;;1648252800
2022-04-12;Hors Vacances;Vacances de printemps;Hors Vacances;Vacances de printemps;1649721600
2022-04-13;Hors Vacances;Vacances de printemps;Hors Vacances;Vacances de printemps;1649808000
2022-06-11;Hors Vacances;Hors Vacances;Hors Vacances;;1654905600
2022-06-28;Hors Vacances;Hors Vacances;Hors Vacances;;1656374400
